date;rx_power
2014-02-13 15:37:42;-50.4
2014-02-13 15:37:58;-50.7
2014-02-13 15:38:13;-50.4
2014-02-13 15:38:28;-50.4
2014-02-13 15:38:44;-50.4
2014-02-13 15:38:59;-50.4
2014-02-13 15:39:24;-50.7
2014-02-13 15:39:40;-50.7
2014-02-13 15:39:56;-50.7
2014-02-13 15:40:12;-50.4
2014-02-13 15:40:28;-50.4
2014-02-13 15:40:28;-50.4
2014-02-13 15:41:16;-50.7
2014-02-13 15:41:16;-50.7
2014-02-13 15:41:32;-50.7
2014-02-13 15:41:47;-50.4
2014-02-13 15:42:02;-50.4
2014-02-13 15:42:18;-50.4
2014-02-13 15:42:33;-50.4
2014-02-13 15:42:49;-50.4
2014-02-13 15:43:04;-50.4
2014-02-13 15:43:20;-50.7
2014-02-13 15:43:35;-50.4
2014-02-13 15:43:50;-50.7
2014-02-13 15:44:05;-50.4
2014-02-13 15:44:21;-50.4
2014-02-13 15:44:36;-50.7
2014-02-13 15:44:51;-50.4
2014-02-13 15:45:07;-50.4
2014-02-13 15:45:22;-50.7
2014-02-13 15:45:38;-50.7
2014-02-13 15:45:54;-50.7
2014-02-13 15:46:10;-50.4
2014-02-13 15:46:25;-50.7
2014-02-13 15:46:41;-50.4
2014-02-13 15:46:57;-50.7
2014-02-13 15:47:12;-50.4
2014-02-13 15:47:28;-50.4
2014-02-13 15:47:43;-50.4
2014-02-13 15:47:58;-50.7
2014-02-13 15:48:14;-50.7
2014-02-13 15:48:29;-50.7
2014-02-13 15:48:44;-50.7
2014-02-13 15:49:00;-50.7
2014-02-13 15:49:15;-50.7
2014-02-13 15:49:30;-50.7
2014-02-13 15:49:46;-50.7
2014-02-13 15:50:01;-50.7
2014-02-13 15:50:18;-50.7
2014-02-13 15:50:34;-50.7
2014-02-13 15:50:50;-50.4
2014-02-13 15:51:06;-50.4
2014-02-13 15:51:22;-50.7
2014-02-13 15:51:37;-50.7
2014-02-13 15:51:52;-50.7
2014-02-13 15:53:09;-50.4
2014-02-13 15:53:25;-50.7
2014-02-13 15:53:40;-50.4
2014-02-13 15:53:55;-50.4
2014-02-13 15:55:12;-50.7
2014-02-13 15:55:28;-50.7
2014-02-13 15:55:44;-50.7
2014-02-13 15:56:00;-50.7
2014-02-13 15:56:15;-50.7
2014-02-13 15:56:31;-50.7
2014-02-13 15:56:46;-50.4
2014-02-13 15:57:02;-50.4
2014-02-13 15:57:17;-50.7
2014-02-13 15:57:33;-50.7
2014-02-13 15:57:49;-50.7
2014-02-13 15:58:05;-50.4
2014-02-13 15:58:20;-50.4
2014-02-13 15:58:35;-50.7
2014-02-13 15:58:51;-50.7
2014-02-13 15:59:06;-50.7
2014-02-13 15:59:21;-50.4
2014-02-13 15:59:37;-50.4
2014-02-13 15:59:52;-50.7
2014-02-13 16:00:07;-50.7
2014-02-13 16:00:23;-50.7
2014-02-13 16:01:09;-50.7
2014-02-13 16:01:24;-50.7
2014-02-13 16:01:40;-50.7
2014-02-13 16:01:56;-50.4
2014-02-13 16:02:11;-50.4
2014-02-13 16:02:27;-50.4
2014-02-13 16:02:42;-50.4
2014-02-13 16:02:57;-50.4
2014-02-13 16:04:24;-50.4
2014-02-13 16:04:39;-50.7
2014-02-13 16:04:54;-50.7
2014-02-13 16:05:10;-50.7
2014-02-13 16:05:25;-50.4
2014-02-13 16:05:40;-50.7
2014-02-13 16:05:56;-50.4
2014-02-13 16:06:11;-50.4
2014-02-13 16:06:26;-50.4
2014-02-13 16:06:42;-50.4
2014-02-13 16:06:57;-50.4
2014-02-13 16:07:12;-50.7
2014-02-13 16:07:28;-50.7
2014-02-13 16:07:44;-50.4
2014-02-13 16:08:00;-50.4
2014-02-13 16:08:15;-50.7
2014-02-13 16:08:31;-50.4
2014-02-13 16:08:47;-50.7
2014-02-13 16:09:17;-50.4
2014-02-13 16:09:33;-50.7
2014-02-13 16:09:48;-50.7
2014-02-13 16:11:06;-50.7
2014-02-13 16:11:21;-50.4
2014-02-13 16:11:37;-50.7
2014-02-13 16:11:52;-50.7
2014-02-13 16:12:08;-50.7
2014-02-13 16:12:24;-50.7
2014-02-13 16:12:40;-50.7
2014-02-13 16:12:55;-50.7
2014-02-13 16:13:11;-50.7
2014-02-13 16:13:27;-50.4
2014-02-13 16:13:42;-50.7
2014-02-13 16:13:57;-50.7
2014-02-13 16:14:13;-50.7
2014-02-13 16:14:28;-50.7
2014-02-13 16:14:44;-50.7
2014-02-13 16:15:01;-50.7
2014-02-13 16:15:18;-50.7
2014-02-13 16:15:34;-50.7
2014-02-13 16:15:50;-50.7
2014-02-13 16:16:05;-50.7
2014-02-13 16:16:21;-50.7
2014-02-13 16:16:36;-50.4
2014-02-13 16:16:52;-50.7
2014-02-13 16:17:07;-50.4
2014-02-13 16:17:23;-50.7
2014-02-13 16:17:38;-50.4
